kabupaten_kota,periode,tahun,bulan,risiko_label,status_panen_raw,prob_aman_pct,prob_waspada_pct,prob_kritis_pct,faktor_dominan_bahasa,diagnosis_masalah,kategori_aksi,urgensi,batas_waktu,rekomendasi_card,detail_action_plan,langkah_aksi_utama,aktor_tindak_lanjut,output_diharapkan,indikator_pemicu,sifat_hujan,status_hth,status_kat,rasio_hujan_lag2,max_hth_lag2,rasio_kat_lag2,probabilitas_risiko_historis,FAKTOR_DOMINAN,skor_prioritas_aksi
JOMBANG,Mei 2026,2026,5,Waspada,⚠️ WASPADA,47.0,53.0,0.0,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Sedang,≤7 hari,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 2.3 hari (Pendek); Rasio KAT: 0.65 (Agak Rendah); Prob. Waspada: 53.0%; Prob. Kritis: 0.0%,Normal,Pendek,Agak Rendah,1.1127651569809238,2.3020499679692508,0.6512790507773092,0.2857142857142857,probabilitas_risiko_historis,2.53
PACITAN,Mei 2026,2026,5,Waspada,⚠️ WASPADA,47.6,52.4,0.0,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Sedang,≤7 hari,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 3.8 hari (Pendek); Rasio KAT: 0.68 (Agak Rendah); Prob. Waspada: 52.4%; Prob. Kritis: 0.0%,Normal,Pendek,Agak Rendah,0.9832699948115132,3.804110842972456,0.683391215612134,0.3452380952380952,probabilitas_risiko_historis,2.52
SURABAYA,Mei 2026,2026,5,Aman,✅ AMAN,52.5,47.0,0.6,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Rendah,Monitoring rutin,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 2.8 hari (Pendek); Rasio KAT: 0.89 (Mendekati Normal); Prob. Waspada: 47.0%; Prob. Kritis: 0.6%,Normal,Pendek,Mendekati Normal,1.0384680531016806,2.783513405362144,0.8943382035884567,0.238095238095238,probabilitas_risiko_historis,1.5
TULUNGAGUNG,Mei 2026,2026,5,Aman,✅ AMAN,54.1,45.9,0.0,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Rendah,Monitoring rutin,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 4.0 hari (Pendek); Rasio KAT: 0.57 (Rendah); Prob. Waspada: 45.9%; Prob. Kritis: 0.0%,Normal,Pendek,Rendah,1.0674444616502778,4.012710550790535,0.5747695687318973,0.3333333333333333,probabilitas_risiko_historis,1.46
TRENGGALEK,Mei 2026,2026,5,Aman,✅ AMAN,61.6,38.4,0.0,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Rendah,Monitoring rutin,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 4.0 hari (Pendek); Rasio KAT: 0.56 (Rendah); Prob. Waspada: 38.4%; Prob. Kritis: 0.0%,Normal,Pendek,Rendah,1.020613006385385,3.978755547162685,0.5583422794993036,0.3333333333333333,probabilitas_risiko_historis,1.38
MOJOKERTO,Mei 2026,2026,5,Aman,✅ AMAN,64.3,35.7,0.0,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Rendah,Monitoring rutin,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 2.5 hari (Pendek); Rasio KAT: 0.62 (Rendah); Prob. Waspada: 35.7%; Prob. Kritis: 0.0%,Normal,Pendek,Rendah,1.1217321328388066,2.462947032075704,0.6249114937072104,0.3333333333333333,probabilitas_risiko_historis,1.36
PAMEKASAN,Mei 2026,2026,5,Aman,✅ AMAN,70.4,29.6,0.0,Hari tanpa hujan panjang,Kondisi relatif terkendali; tetap perlu monitoring rutin,Antisipasi kekeringan/defisit air,Rendah,Monitoring rutin,"Pantau pengecekan ketersediaan air, saluran irigasi, dan lahan rawan kering; validasi kondisi lapangan bersama penyuluh.","Indikator menunjukkan potensi tekanan air. Wilayah perlu dipantau untuk memastikan sawah tidak mengalami defisit air, terutama pada area tadah hujan atau area dengan akses irigasi terbatas. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Cek sumber air dan kondisi saluran irigasi.
2) Identifikasi area sawah rawan kering bersama penyuluh.
3) Koordinasikan distribusi air/pompanisasi bila diperlukan.
4) Update status wilayah setelah validasi lapangan.","Dinas Kab/Kota, Penyuluh/BPP, pengelola irigasi",Daftar lahan rawan kering dan status ketersediaan air,Sifat hujan: Normal; HTH: 10.9 hari (Panjang); Rasio KAT: 0.59 (Rendah); Prob. Waspada: 29.6%; Prob. Kritis: 0.0%,Normal,Panjang,Rendah,0.9168875873928072,10.944942005579213,0.5913747151406815,0.2142857142857142,probabilitas_risiko_historis,1.3
NGANJUK,Mei 2026,2026,5,Aman,✅ AMAN,72.1,27.9,0.0,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Rendah,Monitoring rutin,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 2.3 hari (Pendek); Rasio KAT: 0.67 (Agak Rendah); Prob. Waspada: 27.9%; Prob. Kritis: 0.0%,Normal,Pendek,Agak Rendah,1.1201926902032395,2.2782415136338336,0.6713712510438941,0.2857142857142857,probabilitas_risiko_historis,1.28
PASURUAN,Mei 2026,2026,5,Aman,✅ AMAN,73.1,26.9,0.0,Curah hujan atas normal,Potensi kelebihan air/genangan dan peningkatan kelembapan,Antisipasi hujan tinggi/genangan,Rendah,Monitoring rutin,"Pantau potensi genangan, bersihkan drainase, dan lanjutkan pengamatan OPT/penyakit akibat kelembapan tinggi.","Curah hujan di atas normal dapat meningkatkan risiko genangan, kerusakan lahan, serta kelembapan yang mendukung penyakit tanaman. Tindakan awal perlu difokuskan pada drainase dan monitoring lapangan. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Cek saluran drainase dan titik rawan genangan.
2) Validasi area sawah yang tergenang/berdrainase buruk.
3) Tingkatkan pengamatan OPT/penyakit terkait kelembapan.
4) Koordinasikan tindakan cepat bila genangan meluas.","Dinas Kab/Kota, Penyuluh/BPP, POPT, pengelola drainase",Daftar titik rawan genangan dan status pengendalian OPT,Sifat hujan: Atas Normal; HTH: 4.1 hari (Pendek); Rasio KAT: 0.86 (Mendekati Normal); Prob. Waspada: 26.9%; Prob. Kritis: 0.0%,Atas Normal,Pendek,Mendekati Normal,1.3471590344595776,4.119566842523953,0.8577644989434249,0.2857142857142857,probabilitas_risiko_historis,1.27
BANYUWANGI,Mei 2026,2026,5,Aman,✅ AMAN,73.7,26.3,0.0,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Rendah,Monitoring rutin,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 8.1 hari (Sedang); Rasio KAT: 0.51 (Rendah); Prob. Waspada: 26.3%; Prob. Kritis: 0.0%,Normal,Sedang,Rendah,0.9759632971616282,8.1324905434999,0.5082656451795302,0.238095238095238,probabilitas_risiko_historis,1.26
MALANG,Mei 2026,2026,5,Aman,✅ AMAN,78.4,21.5,0.1,Ketersediaan air tanah sangat rendah,Potensi tekanan air/kekeringan,Antisipasi kekeringan/defisit air,Rendah,Monitoring rutin,"Pantau pengecekan ketersediaan air, saluran irigasi, dan lahan rawan kering; validasi kondisi lapangan bersama penyuluh.","Indikator menunjukkan potensi tekanan air. Wilayah perlu dipantau untuk memastikan sawah tidak mengalami defisit air, terutama pada area tadah hujan atau area dengan akses irigasi terbatas. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Cek sumber air dan kondisi saluran irigasi.
2) Identifikasi area sawah rawan kering bersama penyuluh.
3) Koordinasikan distribusi air/pompanisasi bila diperlukan.
4) Update status wilayah setelah validasi lapangan.","Dinas Kab/Kota, Penyuluh/BPP, pengelola irigasi",Daftar lahan rawan kering dan status ketersediaan air,Sifat hujan: Normal; HTH: 4.2 hari (Pendek); Rasio KAT: 0.49 (Sangat Rendah); Prob. Waspada: 21.5%; Prob. Kritis: 0.1%,Normal,Pendek,Sangat Rendah,1.0694849974165417,4.22489975580855,0.4867756534294231,0.2261904761904762,probabilitas_risiko_historis,1.22
PONOROGO,Mei 2026,2026,5,Aman,✅ AMAN,80.3,19.6,0.0,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Rendah,Monitoring rutin,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 3.3 hari (Pendek); Rasio KAT: 0.56 (Rendah); Prob. Waspada: 19.6%; Prob. Kritis: 0.0%,Normal,Pendek,Rendah,1.080048316883314,3.3143461701227257,0.5628858140009337,0.238095238095238,probabilitas_risiko_historis,1.2
KEDIRI,Mei 2026,2026,5,Aman,✅ AMAN,82.6,17.4,0.0,Sensitivitas historis wilayah,Wilayah sensitif berdasarkan pola historis produksi/luas panen,Validasi kerentanan historis,Rendah,Monitoring rutin,"Validasi penyebab kerentanan historis: pola tanam, produktivitas, input budidaya, kesuburan lahan, dan kondisi lapangan.","Risiko terutama didorong oleh sensitivitas historis wilayah. Ini berarti wilayah memiliki riwayat kerentanan produksi/luas panen, sehingga perlu pengecekan faktor non-iklim yang belum tertangkap model. Karena status masih Aman, tindakan difokuskan pada monitoring rutin dan kesiapsiagaan, bukan intervensi prioritas.","1) Bandingkan tren produksi dan luas panen historis.
2) Cek pola tanam, intensitas tanam, dan input budidaya.
3) Minta masukan penyuluh terkait kondisi lahan.
4) Tetapkan apakah wilayah perlu masuk daftar prioritas monitoring.","Dinas Kab/Kota, Penyuluh/BPP, analis tanaman pangan",Catatan penyebab kerentanan historis dan rekomendasi tindak lanjut,Sifat hujan: Normal; HTH: 2.8 hari (Pendek); Rasio KAT: 0.59 (Rendah); Prob. Waspada: 17.4%; Prob. Kritis: 0.0%,Normal,Pendek,Rendah,1.1357795961564212,2.810267854034521,0.5891732455863126,0.2857142857142857,probabilitas_risiko_historis,1.17
